ISP (UTC),Imbalance+ [EUR/MWh],Imbalance- [EUR/MWh],Total Imbalance [MWh]
20.04.2019 00:30 - 20.04.2019 01:00,28.5,31.5,181
20.04.2019 01:00 - 20.04.2019 01:30,22.46,24.82,354
20.04.2019 01:30 - 20.04.2019 02:00,20.61,22.77,468
20.04.2019 02:00 - 20.04.2019 02:30,24.81,27.43,32
20.04.2019 02:30 - 20.04.2019 03:00,20.65,22.83,109
20.04.2019 03:00 - 20.04.2019 03:30,21.16,23.38,124
20.04.2019 03:30 - 20.04.2019 04:00,25.94,28.67,81
20.04.2019 04:00 - 20.04.2019 04:30,27.23,30.09,667
20.04.2019 04:30 - 20.04.2019 05:00,27.29,30.17,665
20.04.2019 05:00 - 20.04.2019 05:30,36.91,40.79,91
20.04.2019 05:30 - 20.04.2019 06:00,39.31,43.45,161
20.04.2019 06:00 - 20.04.2019 06:30,26.82,29.64,628
20.04.2019 06:30 - 20.04.2019 07:00,28.16,31.12,674
20.04.2019 07:00 - 20.04.2019 07:30,28.41,31.4,804
20.04.2019 07:30 - 20.04.2019 08:00,28.72,31.74,769
20.04.2019 08:00 - 20.04.2019 08:30,24.04,26.58,947
20.04.2019 08:30 - 20.04.2019 09:00,25.94,28.67,1051
20.04.2019 09:00 - 20.04.2019 09:30,23.54,26.02,1094
20.04.2019 09:30 - 20.04.2019 10:00,21.59,23.87,1104
20.04.2019 10:00 - 20.04.2019 10:30,19.19,21.21,574
20.04.2019 10:30 - 20.04.2019 11:00,17.56,19.4,383
20.04.2019 11:00 - 20.04.2019 11:30,14.74,16.3,329
20.04.2019 11:30 - 20.04.2019 12:00,18,19.9,1018
20.04.2019 12:00 - 20.04.2019 12:30,15.31,16.93,599
20.04.2019 12:30 - 20.04.2019 13:00,12.91,14.27,1114
20.04.2019 13:00 - 20.04.2019 13:30,3.11,3.43,1014
20.04.2019 13:30 - 20.04.2019 14:00,2.98,3.3,992
20.04.2019 14:00 - 20.04.2019 14:30,21.86,24.16,136
20.04.2019 14:30 - 20.04.2019 15:00,25.51,28.19,47
20.04.2019 15:00 - 20.04.2019 15:30,7.18,7.94,193
20.04.2019 15:30 - 20.04.2019 16:00,24.19,26.73,85
20.04.2019 16:00 - 20.04.2019 16:30,26.19,28.95,214
20.04.2019 16:30 - 20.04.2019 17:00,29.7,32.82,368
20.04.2019 17:00 - 20.04.2019 17:30,33.4,36.92,356
20.04.2019 17:30 - 20.04.2019 18:00,37.34,41.27,241
20.04.2019 18:00 - 20.04.2019 18:30,36.95,40.83,547
20.04.2019 18:30 - 20.04.2019 19:00,33.73,37.29,580
20.04.2019 19:00 - 20.04.2019 19:30,32.3,35.7,248
20.04.2019 19:30 - 20.04.2019 20:00,31.04,34.3,495
20.04.2019 20:00 - 20.04.2019 20:30,34.78,38.44,909
20.04.2019 20:30 - 20.04.2019 21:00,33.6,37.14,155
20.04.2019 21:00 - 20.04.2019 21:30,35.69,39.45,154
20.04.2019 21:30 - 20.04.2019 22:00,36.43,40.27,276
20.04.2019 22:00 - 20.04.2019 22:30,18.15,20.06,159
20.04.2019 22:30 - 20.04.2019 23:00,20.16,22.28,913
20.04.2019 23:00 - 20.04.2019 23:30,20.6,22.76,182
20.04.2019 23:30 - 21.04.2019 00:00,20.24,22.37,391
21.04.2019 00:00 - 21.04.2019 00:30,35.59,39.33,254
21.04.2019 00:30 - 21.04.2019 01:00,30.42,33.62,26
21.04.2019 01:00 - 21.04.2019 01:30,26.43,29.21,100
21.04.2019 01:30 - 21.04.2019 02:00,5.09,5.63,212
21.04.2019 02:00 - 21.04.2019 02:30,28.1,31.06,37
21.04.2019 02:30 - 21.04.2019 03:00,27.75,30.67,146
21.04.2019 03:00 - 21.04.2019 03:30,27.98,30.92,146
21.04.2019 03:30 - 21.04.2019 04:00,29.59,32.71,109
21.04.2019 04:00 - 21.04.2019 04:30,30.61,33.83,210
21.04.2019 04:30 - 21.04.2019 05:00,29.91,33.05,30
21.04.2019 05:00 - 21.04.2019 05:30,6.84,7.56,171
21.04.2019 05:30 - 21.04.2019 06:00,5.77,6.37,114
21.04.2019 06:00 - 21.04.2019 06:30,13.44,14.86,290
21.04.2019 06:30 - 21.04.2019 07:00,32.3,35.7,107
21.04.2019 07:00 - 21.04.2019 07:30,30.62,33.84,118
21.04.2019 07:30 - 21.04.2019 08:00,32.1,35.48,764
21.04.2019 08:00 - 21.04.2019 08:30,29.53,32.63,834
21.04.2019 08:30 - 21.04.2019 09:00,28.86,31.9,1022
21.04.2019 09:00 - 21.04.2019 09:30,28.85,31.89,658
21.04.2019 09:30 - 21.04.2019 10:00,32.96,36.42,766
21.04.2019 10:00 - 21.04.2019 10:30,39.01,43.11,355
21.04.2019 10:30 - 21.04.2019 11:00,35.47,39.21,591
21.04.2019 11:00 - 21.04.2019 11:30,27.97,30.91,281
21.04.2019 11:30 - 21.04.2019 12:00,9.5,10.5,53
21.04.2019 12:00 - 21.04.2019 12:30,6.76,7.48,358
21.04.2019 12:30 - 21.04.2019 13:00,10.25,11.33,424
21.04.2019 13:00 - 21.04.2019 13:30,20.46,22.62,1246
21.04.2019 13:30 - 21.04.2019 14:00,22.04,24.36,1070
21.04.2019 14:00 - 21.04.2019 14:30,31.84,35.2,1759
21.04.2019 14:30 - 21.04.2019 15:00,38.07,42.07,1365
21.04.2019 15:00 - 21.04.2019 15:30,39.86,44.06,1124
21.04.2019 15:30 - 21.04.2019 16:00,42.48,46.96,637
21.04.2019 16:00 - 21.04.2019 16:30,49.08,54.24,311
21.04.2019 16:30 - 21.04.2019 17:00,47.35,52.33,399
21.04.2019 17:00 - 21.04.2019 17:30,50.85,56.21,175
21.04.2019 17:30 - 21.04.2019 18:00,49.97,55.23,397
21.04.2019 18:00 - 21.04.2019 18:30,50.03,55.29,194
21.04.2019 18:30 - 21.04.2019 19:00,45.43,50.21,219
21.04.2019 19:00 - 21.04.2019 19:30,42.06,46.48,386
21.04.2019 19:30 - 21.04.2019 20:00,43.18,47.72,465
21.04.2019 20:00 - 21.04.2019 20:30,39.31,43.45,165
21.04.2019 20:30 - 21.04.2019 21:00,44.48,49.16,187
21.04.2019 21:00 - 21.04.2019 21:30,39,43.1,253
21.04.2019 21:30 - 21.04.2019 22:00,41.15,45.49,28
21.04.2019 22:00 - 21.04.2019 22:30,40.05,44.27,1260
21.04.2019 22:30 - 21.04.2019 23:00,22.44,24.8,233
21.04.2019 23:00 - 21.04.2019 23:30,42.16,46.6,80
21.04.2019 23:30 - 22.04.2019 00:00,17.73,19.59,212
22.04.2019 00:00 - 22.04.2019 00:30,15.03,16.61,104
22.04.2019 00:30 - 22.04.2019 01:00,12.18,13.46,539
22.04.2019 01:00 - 22.04.2019 01:30,-0.21,-0.19,667
22.04.2019 01:30 - 22.04.2019 02:00,-0.87,-0.79,789
22.04.2019 02:00 - 22.04.2019 02:30,2.48,2.74,391
22.04.2019 02:30 - 22.04.2019 03:00,3.22,3.56,365
22.04.2019 03:00 - 22.04.2019 03:30,3.15,3.49,111
22.04.2019 03:30 - 22.04.2019 04:00,13.1,14.48,105
22.04.2019 04:00 - 22.04.2019 04:30,13.84,15.3,752
22.04.2019 04:30 - 22.04.2019 05:00,22.58,24.96,314
22.04.2019 05:00 - 22.04.2019 05:30,7.35,8.13,268
22.04.2019 05:30 - 22.04.2019 06:00,7.35,8.13,261
22.04.2019 06:00 - 22.04.2019 06:30,16.19,17.89,434
22.04.2019 06:30 - 22.04.2019 07:00,17.36,19.18,74
22.04.2019 07:00 - 22.04.2019 07:30,16.41,18.13,335
22.04.2019 07:30 - 22.04.2019 08:00,16.78,18.54,17
22.04.2019 08:00 - 22.04.2019 08:30,6.17,6.81,485
22.04.2019 08:30 - 22.04.2019 09:00,2.11,2.33,94
22.04.2019 09:00 - 22.04.2019 09:30,3.7,4.08,172
22.04.2019 09:30 - 22.04.2019 10:00,4.75,5.25,57
22.04.2019 10:00 - 22.04.2019 10:30,20.22,22.34,275
22.04.2019 10:30 - 22.04.2019 11:00,32.21,35.6,689
22.04.2019 11:00 - 22.04.2019 11:30,30.98,34.24,638
22.04.2019 11:30 - 22.04.2019 12:00,10.51,11.61,392
22.04.2019 12:00 - 22.04.2019 12:30,0.07,0.07,538
22.04.2019 12:30 - 22.04.2019 13:00,0.07,0.07,359
22.04.2019 13:00 - 22.04.2019 13:30,-4.31,-3.9,469
22.04.2019 13:30 - 22.04.2019 14:00,-0.78,-0.7,442
22.04.2019 14:00 - 22.04.2019 14:30,17.68,19.54,482
22.04.2019 14:30 - 22.04.2019 15:00,19.44,21.48,383
22.04.2019 15:00 - 22.04.2019 15:30,11.38,12.58,651
22.04.2019 15:30 - 22.04.2019 16:00,11.01,12.17,388
22.04.2019 16:00 - 22.04.2019 16:30,21.38,23.64,708
22.04.2019 16:30 - 22.04.2019 17:00,24.51,27.09,352
22.04.2019 17:00 - 22.04.2019 17:30,51.13,56.51,601
22.04.2019 17:30 - 22.04.2019 18:00,50.72,56.06,95
22.04.2019 18:00 - 22.04.2019 18:30,47.48,52.48,318
22.04.2019 18:30 - 22.04.2019 19:00,47.02,51.96,517
22.04.2019 19:00 - 22.04.2019 19:30,53.12,58.72,316
22.04.2019 19:30 - 22.04.2019 20:00,53.39,59.01,371
22.04.2019 20:00 - 22.04.2019 20:30,12.27,13.57,202
22.04.2019 20:30 - 22.04.2019 21:00,36.44,40.28,507
22.04.2019 21:00 - 22.04.2019 21:30,10.11,11.17,393
22.04.2019 21:30 - 22.04.2019 22:00,9.11,10.07,289
22.04.2019 22:00 - 22.04.2019 22:30,11.95,13.21,321
22.04.2019 22:30 - 22.04.2019 23:00,10.19,11.27,1143
22.04.2019 23:00 - 22.04.2019 23:30,7.51,8.31,759
22.04.2019 23:30 - 23.04.2019 00:00,0.93,1.03,611
23.04.2019 00:00 - 23.04.2019 00:30,-2.98,-2.7,217
23.04.2019 00:30 - 23.04.2019 01:00,-2.4,-2.18,698
23.04.2019 01:00 - 23.04.2019 01:30,-8.58,-7.76,434
23.04.2019 01:30 - 23.04.2019 02:00,-5.31,-4.81,705
23.04.2019 02:00 - 23.04.2019 02:30,-9.17,-8.29,740
23.04.2019 02:30 - 23.04.2019 03:00,-9.23,-8.35,690
23.04.2019 03:00 - 23.04.2019 03:30,3.67,4.05,36
23.04.2019 03:30 - 23.04.2019 04:00,18.8,20.78,39
23.04.2019 04:00 - 23.04.2019 04:30,40.95,45.26,275
23.04.2019 04:30 - 23.04.2019 05:00,24.19,26.73,147
23.04.2019 05:00 - 23.04.2019 05:30,27.98,30.92,817
23.04.2019 05:30 - 23.04.2019 06:00,28.88,31.92,376
23.04.2019 06:00 - 23.04.2019 06:30,34.35,37.97,562
23.04.2019 06:30 - 23.04.2019 07:00,30.24,33.42,68
23.04.2019 07:00 - 23.04.2019 07:30,37.56,41.52,269
23.04.2019 07:30 - 23.04.2019 08:00,37.59,41.55,612
23.04.2019 08:00 - 23.04.2019 08:30,34.32,37.94,451
23.04.2019 08:30 - 23.04.2019 09:00,35.71,39.47,421
23.04.2019 09:00 - 23.04.2019 09:30,43.29,47.85,52
23.04.2019 09:30 - 23.04.2019 10:00,38.39,42.43,188
23.04.2019 10:00 - 23.04.2019 10:30,28.84,31.88,125
23.04.2019 10:30 - 23.04.2019 11:00,35.6,39.34,258
23.04.2019 11:00 - 23.04.2019 11:30,46.07,50.91,180
23.04.2019 11:30 - 23.04.2019 12:00,42.38,46.84,193
23.04.2019 12:00 - 23.04.2019 12:30,37.59,41.55,690
23.04.2019 12:30 - 23.04.2019 13:00,46.12,50.98,368
23.04.2019 13:00 - 23.04.2019 13:30,37.69,41.65,793
23.04.2019 13:30 - 23.04.2019 14:00,40.47,44.73,359
23.04.2019 14:00 - 23.04.2019 14:30,44.71,49.41,412
23.04.2019 14:30 - 23.04.2019 15:00,44.98,49.72,154
23.04.2019 15:00 - 23.04.2019 15:30,43.58,48.16,339
23.04.2019 15:30 - 23.04.2019 16:00,46.39,51.27,427
23.04.2019 16:00 - 23.04.2019 16:30,37.32,41.24,45
23.04.2019 16:30 - 23.04.2019 17:00,41.75,46.15,701
23.04.2019 17:00 - 23.04.2019 17:30,44.07,48.71,821
23.04.2019 17:30 - 23.04.2019 18:00,49.33,54.53,625
23.04.2019 18:00 - 23.04.2019 18:30,54.44,60.18,1009
23.04.2019 18:30 - 23.04.2019 19:00,56.98,62.98,430
23.04.2019 19:00 - 23.04.2019 19:30,57.9,64,638
23.04.2019 19:30 - 23.04.2019 20:00,55.31,61.13,276
23.04.2019 20:00 - 23.04.2019 20:30,30.52,33.74,199
23.04.2019 20:30 - 23.04.2019 21:00,47.64,52.66,382
23.04.2019 21:00 - 23.04.2019 21:30,50.69,56.03,177
23.04.2019 21:30 - 23.04.2019 22:00,46.24,51.1,171
23.04.2019 22:00 - 23.04.2019 22:30,44.74,49.44,504
23.04.2019 22:30 - 23.04.2019 23:00,26.05,28.79,380
23.04.2019 23:00 - 23.04.2019 23:30,26.93,29.77,199
23.04.2019 23:30 - 24.04.2019 00:00,23.3,25.76,244
24.04.2019 00:00 - 24.04.2019 00:30,21.19,23.43,317
24.04.2019 00:30 - 24.04.2019 01:00,21.62,23.9,554
24.04.2019 01:00 - 24.04.2019 01:30,17.46,19.3,350
24.04.2019 01:30 - 24.04.2019 02:00,17.46,19.3,23
24.04.2019 02:00 - 24.04.2019 02:30,23.76,26.26,16
24.04.2019 02:30 - 24.04.2019 03:00,23.76,26.26,12
24.04.2019 03:00 - 24.04.2019 03:30,21.03,23.25,396
24.04.2019 03:30 - 24.04.2019 04:00,17.24,19.06,159
24.04.2019 04:00 - 24.04.2019 04:30,23,25.42,429
24.04.2019 04:30 - 24.04.2019 05:00,25.46,28.14,509
24.04.2019 05:00 - 24.04.2019 05:30,34.99,38.67,292
24.04.2019 05:30 - 24.04.2019 06:00,26.59,29.39,314
24.04.2019 06:00 - 24.04.2019 06:30,31.57,34.89,174
24.04.2019 06:30 - 24.04.2019 07:00,41.64,46.02,106
24.04.2019 07:00 - 24.04.2019 07:30,42.33,46.79,105
24.04.2019 07:30 - 24.04.2019 08:00,37.8,41.78,105
24.04.2019 08:00 - 24.04.2019 08:30,36.91,40.79,170
24.04.2019 08:30 - 24.04.2019 09:00,36.91,40.79,148
24.04.2019 09:00 - 24.04.2019 09:30,31.66,35,776
24.04.2019 09:30 - 24.04.2019 10:00,31.85,35.21,794
24.04.2019 10:00 - 24.04.2019 10:30,28.48,31.48,1094
24.04.2019 10:30 - 24.04.2019 11:00,28.83,31.87,905
24.04.2019 11:00 - 24.04.2019 11:30,28.01,30.95,448
24.04.2019 11:30 - 24.04.2019 12:00,27.9,30.84,373
24.04.2019 12:00 - 24.04.2019 12:30,30.52,33.74,207
24.04.2019 12:30 - 24.04.2019 13:00,30.11,33.27,654
24.04.2019 13:00 - 24.04.2019 13:30,28.67,31.69,844
24.04.2019 13:30 - 24.04.2019 14:00,17.08,18.88,965
24.04.2019 14:00 - 24.04.2019 14:30,12.48,13.8,733
24.04.2019 14:30 - 24.04.2019 15:00,9.15,10.11,437
24.04.2019 15:00 - 24.04.2019 15:30,10.9,12.04,469
24.04.2019 15:30 - 24.04.2019 16:00,13.16,14.54,251
24.04.2019 16:00 - 24.04.2019 16:30,9.59,10.59,197
24.04.2019 16:30 - 24.04.2019 17:00,15.66,17.3,15
24.04.2019 17:00 - 24.04.2019 17:30,37.48,41.42,20
24.04.2019 17:30 - 24.04.2019 18:00,37.55,41.51,283
24.04.2019 18:00 - 24.04.2019 18:30,38.43,42.47,323
24.04.2019 18:30 - 24.04.2019 19:00,39.78,43.96,206
24.04.2019 19:00 - 24.04.2019 19:30,39.39,43.53,459
24.04.2019 19:30 - 24.04.2019 20:00,39.23,43.35,252
24.04.2019 20:00 - 24.04.2019 20:30,36.42,40.26,442
24.04.2019 20:30 - 24.04.2019 21:00,36.42,40.26,17
24.04.2019 21:00 - 24.04.2019 21:30,31.79,35.13,64
24.04.2019 21:30 - 24.04.2019 22:00,31.89,35.25,244
24.04.2019 22:00 - 24.04.2019 22:30,26.51,29.3,348
24.04.2019 22:30 - 24.04.2019 23:00,23.04,25.46,1011
24.04.2019 23:00 - 24.04.2019 23:30,29.74,32.87,183
24.04.2019 23:30 - 25.04.2019 00:00,10.22,11.3,190
25.04.2019 00:00 - 25.04.2019 00:30,29.93,33.09,664
25.04.2019 00:30 - 25.04.2019 01:00,29.64,32.76,141
25.04.2019 01:00 - 25.04.2019 01:30,5.21,5.75,119
25.04.2019 01:30 - 25.04.2019 02:00,-1.91,-1.73,347
25.04.2019 02:00 - 25.04.2019 02:30,-2.81,-2.55,535
25.04.2019 02:30 - 25.04.2019 03:00,-2.75,-2.49,524
25.04.2019 03:00 - 25.04.2019 03:30,-0.42,-0.38,342
25.04.2019 03:30 - 25.04.2019 04:00,8.3,9.18,201
25.04.2019 04:00 - 25.04.2019 04:30,20.67,22.85,3
25.04.2019 04:30 - 25.04.2019 05:00,28.37,31.35,211
25.04.2019 05:00 - 25.04.2019 05:30,32.62,36.06,178
25.04.2019 05:30 - 25.04.2019 06:00,31.17,34.45,649
25.04.2019 06:00 - 25.04.2019 06:30,42.72,47.22,351
25.04.2019 06:30 - 25.04.2019 07:00,43.64,48.24,409
25.04.2019 07:00 - 25.04.2019 07:30,46.44,51.32,451
25.04.2019 07:30 - 25.04.2019 08:00,46.71,51.63,440
25.04.2019 08:00 - 25.04.2019 08:30,42.43,46.89,114
25.04.2019 08:30 - 25.04.2019 09:00,37.19,41.11,132
25.04.2019 09:00 - 25.04.2019 09:30,33.92,37.5,480
25.04.2019 09:30 - 25.04.2019 10:00,35.21,38.91,542
25.04.2019 10:00 - 25.04.2019 10:30,33.87,37.43,239
25.04.2019 10:30 - 25.04.2019 11:00,33.87,37.43,76
25.04.2019 11:00 - 25.04.2019 11:30,20.69,22.87,159
25.04.2019 11:30 - 25.04.2019 12:00,21.12,23.34,215
25.04.2019 12:00 - 25.04.2019 12:30,22.26,24.6,473
25.04.2019 12:30 - 25.04.2019 13:00,23.27,25.71,547
25.04.2019 13:00 - 25.04.2019 13:30,20.51,22.67,37
25.04.2019 13:30 - 25.04.2019 14:00,20.73,22.91,225
25.04.2019 14:00 - 25.04.2019 14:30,20.56,22.72,476
25.04.2019 14:30 - 25.04.2019 15:00,20.6,22.76,328
25.04.2019 15:00 - 25.04.2019 15:30,20.85,23.05,428
25.04.2019 15:30 - 25.04.2019 16:00,20.31,22.45,733
25.04.2019 16:00 - 25.04.2019 16:30,24.81,27.43,559
25.04.2019 16:30 - 25.04.2019 17:00,26.21,28.97,251
25.04.2019 17:00 - 25.04.2019 17:30,36.18,39.98,29
25.04.2019 17:30 - 25.04.2019 18:00,39.96,44.16,324
25.04.2019 18:00 - 25.04.2019 18:30,46.02,50.86,839
25.04.2019 18:30 - 25.04.2019 19:00,48.95,54.11,532
25.04.2019 19:00 - 25.04.2019 19:30,48.41,53.51,833
25.04.2019 19:30 - 25.04.2019 20:00,50.36,55.66,164
25.04.2019 20:00 - 25.04.2019 20:30,40.1,44.32,843
25.04.2019 20:30 - 25.04.2019 21:00,40.1,44.32,323
25.04.2019 21:00 - 25.04.2019 21:30,36.77,40.65,661
25.04.2019 21:30 - 25.04.2019 22:00,36.69,40.55,340
25.04.2019 22:00 - 25.04.2019 22:30,36.11,39.91,401
25.04.2019 22:30 - 25.04.2019 23:00,33.92,37.49,574
25.04.2019 23:00 - 25.04.2019 23:30,38.41,42.45,294
25.04.2019 23:30 - 26.04.2019 00:00,39.82,44.02,94
26.04.2019 00:00 - 26.04.2019 00:30,31.87,35.23,329
26.04.2019 00:30 - 26.04.2019 01:00,23.26,25.7,270
26.04.2019 01:00 - 26.04.2019 01:30,26.58,29.38,241
26.04.2019 01:30 - 26.04.2019 02:00,26.58,29.38,220
26.04.2019 02:00 - 26.04.2019 02:30,24.48,27.06,25
26.04.2019 02:30 - 26.04.2019 03:00,24.48,27.06,73
26.04.2019 03:00 - 26.04.2019 03:30,37.47,41.41,416
26.04.2019 03:30 - 26.04.2019 04:00,36.21,40.03,455
26.04.2019 04:00 - 26.04.2019 04:30,56.05,61.95,146
26.04.2019 04:30 - 26.04.2019 05:00,57.94,64.04,267
26.04.2019 05:00 - 26.04.2019 05:30,40.02,44.24,191
26.04.2019 05:30 - 26.04.2019 06:00,44.41,49.09,21
26.04.2019 06:00 - 26.04.2019 06:30,47.3,52.28,108
26.04.2019 06:30 - 26.04.2019 07:00,59.95,66.26,10
26.04.2019 07:00 - 26.04.2019 07:30,56.49,62.43,228
26.04.2019 07:30 - 26.04.2019 08:00,55.36,61.18,34
26.04.2019 08:00 - 26.04.2019 08:30,40.53,44.79,257
26.04.2019 08:30 - 26.04.2019 09:00,42.44,46.9,231
26.04.2019 09:00 - 26.04.2019 09:30,36.27,40.09,42
26.04.2019 09:30 - 26.04.2019 10:00,35.5,39.24,4
26.04.2019 10:00 - 26.04.2019 10:30,42.88,47.4,353
26.04.2019 10:30 - 26.04.2019 11:00,45.86,50.68,373
26.04.2019 11:00 - 26.04.2019 11:30,41.7,46.08,658
26.04.2019 11:30 - 26.04.2019 12:00,40.95,45.26,205
26.04.2019 12:00 - 26.04.2019 12:30,39.03,43.13,422
26.04.2019 12:30 - 26.04.2019 13:00,27.62,30.52,458
26.04.2019 13:00 - 26.04.2019 13:30,11.5,12.72,530
26.04.2019 13:30 - 26.04.2019 14:00,10.36,11.45,752
26.04.2019 14:00 - 26.04.2019 14:30,13.63,15.07,982
26.04.2019 14:30 - 26.04.2019 15:00,11.77,13.01,1049
26.04.2019 15:00 - 26.04.2019 15:30,10.05,11.11,1289
26.04.2019 15:30 - 26.04.2019 16:00,7.85,8.67,998
26.04.2019 16:00 - 26.04.2019 16:30,19.43,21.47,669
26.04.2019 16:30 - 26.04.2019 17:00,18.57,20.53,312
26.04.2019 17:00 - 26.04.2019 17:30,20.02,22.12,186
26.04.2019 17:30 - 26.04.2019 18:00,22.29,24.63,264
26.04.2019 18:00 - 26.04.2019 18:30,17.25,19.07,172
26.04.2019 18:30 - 26.04.2019 19:00,38.78,42.86,319
26.04.2019 19:00 - 26.04.2019 19:30,40.41,44.67,75
26.04.2019 19:30 - 26.04.2019 20:00,36.9,40.78,231
26.04.2019 20:00 - 26.04.2019 20:30,37.5,41.44,545
26.04.2019 20:30 - 26.04.2019 21:00,39.94,44.14,289
26.04.2019 21:00 - 26.04.2019 21:30,28.52,31.52,292
26.04.2019 21:30 - 26.04.2019 22:00,28.75,31.77,408
26.04.2019 22:00 - 26.04.2019 22:30,30.42,33.62,41
26.04.2019 22:30 - 26.04.2019 23:00,29.48,32.58,753
26.04.2019 23:00 - 26.04.2019 23:30,26.23,28.99,162
26.04.2019 23:30 - 27.04.2019 00:00,28.09,31.05,423
27.04.2019 00:00 - 27.04.2019 00:30,27.54,30.44,28
27.04.2019 00:30 - 27.04.2019 01:00,27.93,30.87,48
27.04.2019 01:00 - 27.04.2019 01:30,23.27,25.71,199
27.04.2019 01:30 - 27.04.2019 02:00,10.76,11.9,313
27.04.2019 02:00 - 27.04.2019 02:30,13.02,14.39,54
27.04.2019 02:30 - 27.04.2019 03:00,13.13,14.51,133
27.04.2019 03:00 - 27.04.2019 03:30,12.71,14.05,175
27.04.2019 03:30 - 27.04.2019 04:00,12.71,14.05,322
27.04.2019 04:00 - 27.04.2019 04:30,25.69,28.39,739
27.04.2019 04:30 - 27.04.2019 05:00,27.49,30.39,580
27.04.2019 05:00 - 27.04.2019 05:30,14.68,16.22,91
27.04.2019 05:30 - 27.04.2019 06:00,18.92,20.92,337
27.04.2019 06:00 - 27.04.2019 06:30,28.67,31.69,501
27.04.2019 06:30 - 27.04.2019 07:00,31.48,34.8,396
27.04.2019 07:00 - 27.04.2019 07:30,26.1,28.84,99
27.04.2019 07:30 - 27.04.2019 08:00,24.63,27.23,123
27.04.2019 08:00 - 27.04.2019 08:30,24.99,27.62,1032
27.04.2019 08:30 - 27.04.2019 09:00,24.08,26.62,810
27.04.2019 09:00 - 27.04.2019 09:30,23.51,25.99,672
27.04.2019 09:30 - 27.04.2019 10:00,23.41,25.87,810
27.04.2019 10:00 - 27.04.2019 10:30,23.37,25.83,830
27.04.2019 10:30 - 27.04.2019 11:00,20.02,22.12,295
27.04.2019 11:00 - 27.04.2019 11:30,25.15,27.79,70
27.04.2019 11:30 - 27.04.2019 12:00,14.42,15.94,569
27.04.2019 12:00 - 27.04.2019 12:30,26.26,29.02,322
27.04.2019 12:30 - 27.04.2019 13:00,11.25,12.43,428
27.04.2019 13:00 - 27.04.2019 13:30,9.62,10.64,230
27.04.2019 13:30 - 27.04.2019 14:00,8.99,9.93,518
27.04.2019 14:00 - 27.04.2019 14:30,10.7,11.82,206
27.04.2019 14:30 - 27.04.2019 15:00,7.76,8.58,331
27.04.2019 15:00 - 27.04.2019 15:30,5.81,6.43,102
27.04.2019 15:30 - 27.04.2019 16:00,4.7,5.2,80
27.04.2019 16:00 - 27.04.2019 16:30,8.22,9.08,231
27.04.2019 16:30 - 27.04.2019 17:00,12.83,14.18,392
27.04.2019 17:00 - 27.04.2019 17:30,14.56,16.1,86
27.04.2019 17:30 - 27.04.2019 18:00,27.27,30.14,158
27.04.2019 18:00 - 27.04.2019 18:30,38.5,42.56,210
27.04.2019 18:30 - 27.04.2019 19:00,43.13,47.67,44
27.04.2019 19:00 - 27.04.2019 19:30,42.46,46.92,623
27.04.2019 19:30 - 27.04.2019 20:00,41.35,45.71,345
27.04.2019 20:00 - 27.04.2019 20:30,22.79,25.19,198
27.04.2019 20:30 - 27.04.2019 21:00,41.52,45.89,468
27.04.2019 21:00 - 27.04.2019 21:30,17.04,18.84,212
27.04.2019 21:30 - 27.04.2019 22:00,39.29,43.43,32
27.04.2019 22:00 - 27.04.2019 22:30,38.19,42.21,248
27.04.2019 22:30 - 27.04.2019 23:00,17.02,18.82,725
27.04.2019 23:00 - 27.04.2019 23:30,13.44,14.86,157
27.04.2019 23:30 - 28.04.2019 00:00,18.81,20.79,347
28.04.2019 00:00 - 28.04.2019 00:30,33.7,37.24,162
28.04.2019 00:30 - 28.04.2019 01:00,15.28,16.88,300
28.04.2019 01:00 - 28.04.2019 01:30,27.55,30.45,312
28.04.2019 01:30 - 28.04.2019 02:00,12.17,13.45,145
28.04.2019 02:00 - 28.04.2019 02:30,10.73,11.85,23
28.04.2019 02:30 - 28.04.2019 03:00,9.63,10.65,10
28.04.2019 03:00 - 28.04.2019 03:30,10.75,11.89,68
28.04.2019 03:30 - 28.04.2019 04:00,12.11,13.39,142
28.04.2019 04:00 - 28.04.2019 04:30,22.63,25.01,157
28.04.2019 04:30 - 28.04.2019 05:00,20.61,22.77,5
28.04.2019 05:00 - 28.04.2019 05:30,22.93,25.35,207
28.04.2019 05:30 - 28.04.2019 06:00,24.85,27.47,257
28.04.2019 06:00 - 28.04.2019 06:30,30.6,33.82,3
28.04.2019 06:30 - 28.04.2019 07:00,31.78,35.12,42
28.04.2019 07:00 - 28.04.2019 07:30,39.49,43.65,266
28.04.2019 07:30 - 28.04.2019 08:00,39.99,44.19,283
28.04.2019 08:00 - 28.04.2019 08:30,31.78,35.12,64
28.04.2019 08:30 - 28.04.2019 09:00,31.22,34.5,5
28.04.2019 09:00 - 28.04.2019 09:30,31.06,34.32,119
28.04.2019 09:30 - 28.04.2019 10:00,22.39,24.75,63
28.04.2019 10:00 - 28.04.2019 10:30,22.32,24.66,55
28.04.2019 10:30 - 28.04.2019 11:00,43.76,48.36,335
28.04.2019 11:00 - 28.04.2019 11:30,39.96,44.16,671
28.04.2019 11:30 - 28.04.2019 12:00,38.52,42.58,110
28.04.2019 12:00 - 28.04.2019 12:30,30.6,33.82,1004
28.04.2019 12:30 - 28.04.2019 13:00,29.08,32.14,923
